passenger_count,trip_distance,payment_type,fare_amount,duration
1,3.7,Card,24.0,27.95
1,2.77,Card,18.4,19.2
1,3.3,Card,22.6,27.383333333333333
1,0.3,Cash,5.1,2.55
1,0.83,Card,7.2,5.25
5,3.96,Cash,21.2,19.95
2,0.66,Card,6.5,4.15
1,0.9,Card,9.3,9.3
1,0.84,Card,7.9,6.333333333333333
1,1.4,Card,11.4,10.25
1,1.9,Card,21.9,25.733333333333334
2,0.7,Card,7.2,7.133333333333334
1,3.47,Card,17.0,10.866666666666667
2,1.46,Card,9.3,6.716666666666667
5,0.86,Cash,5.8,2.0833333333333335
1,1.83,Cash,10.0,6.3
1,1.41,Card,9.3,7.45
1,1.29,Card,10.0,7.683333333333334
1,2.26,Card,19.1,21.116666666666667
1,1.73,Card,17.0,18.166666666666668
1,1.72,Card,10.7,8.033333333333333
1,2.13,Card,14.2,12.35
1,2.7,Card,19.8,20.866666666666667
1,2.3,Card,14.9,14.716666666666667
1,1.47,Card,12.8,12.433333333333334
1,4.97,Card,22.6,15.433333333333334
1,1.7,Card,10.0,9.916666666666666
1,3.65,Card,21.2,20.016666666666666
2,0.37,Cash,4.4,2.3333333333333335
2,1.16,Card,12.1,12.183333333333334
1,1.39,Card,9.3,8.033333333333333
2,1.48,Card,9.3,6.966666666666667
1,2.1,Card,14.2,18.05
2,1.1,Card,8.6,6.216666666666667
1,1.37,Cash,14.9,17.016666666666666
1,1.87,Card,10.0,6.15
1,1.96,Cash,12.1,10.583333333333334
1,0.59,Card,5.8,3.55
1,1.6,Card,10.0,8.033333333333333
2,2.36,Card,17.7,18.433333333333334
1,4.18,Card,20.5,13.0
1,1.1,Card,6.5,3.2666666666666666
2,1.7,Cash,12.1,13.916666666666666
1,1.14,Cash,8.6,6.9
1,1.6,Card,11.4,10.25
1,1.4,Card,12.1,12.2
1,1.62,Card,15.6,17.8
1,1.13,Cash,9.3,7.85
1,3.36,Card,22.6,22.783333333333335
1,1.27,Cash,10.7,10.3
1,1.7,Card,12.8,15.716666666666667
3,2.42,Card,17.7,18.666666666666668
1,1.74,Card,14.2,13.3
2,2.74,Card,19.8,21.033333333333335
1,2.72,Card,19.1,20.05
1,1.32,Card,10.0,8.016666666666667
4,0.59,Card,19.1,23.333333333333332
2,0.5,Card,5.8,4.45
1,1.1,Card,8.6,8.65
1,1.6,Card,15.6,18.966666666666665
1,1.31,Card,10.7,10.183333333333334
1,2.73,Cash,14.9,10.6
2,1.85,Card,19.1,20.933333333333334
1,1.77,Card,11.4,9.333333333333334
1,2.65,Card,19.8,20.316666666666666
1,1.01,Card,9.3,9.266666666666667
2,1.73,Card,14.9,15.583333333333334
1,2.2,Card,14.9,14.516666666666667
1,2.15,Card,15.6,16.183333333333334
1,0.38,Card,6.5,5.266666666666667
1,1.17,Cash,12.1,12.9
1,2.51,Card,14.9,14.033333333333333
1,1.9,Card,13.5,12.65
1,1.1,Card,10.7,10.466666666666667
1,1.2,Card,12.8,13.766666666666667
1,1.46,Card,21.2,24.916666666666668
1,2.61,Card,15.6,13.45
2,2.07,Card,11.4,8.783333333333333
1,1.3,Card,9.3,9.1
3,2.9,Cash,17.0,15.633333333333333
1,0.48,Card,5.1,2.5166666666666666
1,2.15,Card,14.9,14.133333333333333
1,2.15,Card,13.5,11.233333333333333
1,2.22,Cash,15.6,16.066666666666666
2,1.3,Card,12.8,13.3
1,0.5,Card,4.4,2.3333333333333335
1,0.59,Card,7.2,5.866666666666666
1,2.07,Card,14.9,13.833333333333334
1,3.9,Card,20.5,18.583333333333332
2,2.56,Card,21.2,23.066666666666666
3,0.46,Card,5.1,2.716666666666667
1,0.58,Cash,6.5,4.583333333333333
1,1.5,Card,14.2,14.166666666666666
1,0.65,Card,6.5,5.25
1,1.51,Card,10.0,7.6
1,3.3,Card,14.9,10.233333333333333
1,2.68,Card,17.0,16.25
1,3.63,Card,17.7,13.083333333333334
1,1.8,Card,10.7,9.666666666666666
2,0.86,Card,7.9,6.433333333333334
1,2.78,Cash,12.1,12.816666666666666
1,0.8,Card,6.5,4.233333333333333
1,1.29,Card,13.5,15.016666666666667
1,0.99,Card,7.9,6.833333333333333
1,1.57,Card,13.5,13.5
1,1.59,Card,9.3,6.2
1,4.69,Card,24.0,17.016666666666666
1,0.66,Card,9.3,9.45
1,1.3,Cash,10.0,10.533333333333333
4,1.03,Card,7.2,4.816666666666666
1,4.45,Cash,22.6,15.933333333333334
2,1.14,Card,8.6,7.383333333333334
1,0.2,Cash,4.4,3.2666666666666666
1,1.0,Card,8.6,8.25
1,1.49,Card,10.0,8.116666666666667
1,0.7,Card,6.5,5.033333333333333
1,0.68,Card,5.8,2.7
1,3.3,Cash,19.8,16.833333333333332
1,0.95,Card,9.3,8.833333333333334
1,1.3,Card,7.9,4.3
1,1.0,Card,7.2,5.316666666666666
3,2.08,Card,22.6,25.633333333333333
1,1.11,Card,8.6,5.516666666666667
1,0.8,Card,6.5,4.25
1,1.63,Card,12.8,13.383333333333333
1,1.34,Card,12.1,12.383333333333333
1,0.96,Card,9.3,8.716666666666667
1,2.32,Card,12.8,10.683333333333334
1,3.78,Card,19.8,18.316666666666666
1,2.46,Card,15.6,15.05
1,1.2,Card,10.0,8.433333333333334
1,1.69,Card,21.2,25.566666666666666
1,2.07,Card,14.9,14.383333333333333
1,0.68,Card,6.5,3.85
1,2.9,Card,17.7,16.7
1,4.2,Card,19.1,15.716666666666667
2,0.56,Card,6.5,4.35
1,0.62,Cash,5.1,2.55
1,1.95,Card,10.7,8.133333333333333
1,1.32,Card,10.0,8.75
1,1.41,Card,10.7,9.383333333333333
1,1.7,Card,12.8,16.55
1,1.85,Card,12.1,9.133333333333333
1,1.07,Card,7.2,3.933333333333333
1,1.6,Cash,23.3,28.6
1,1.17,Card,10.7,10.166666666666666
1,1.24,Card,9.3,7.533333333333333
1,0.78,Card,10.0,9.966666666666667
1,1.4,Cash,8.6,5.866666666666666
1,1.52,Card,12.8,12.716666666666667
4,3.34,Card,18.4,15.333333333333334
1,1.08,Card,8.6,7.033333333333333
